resource_id	sku	canonical_name	alias	title	url
res-1	SKU-002	Product		title	https://example.com/1
res-2	SKU-003	Product		title	https://example.com/2
res-3	SKU-004	Product		title	https://example.com/3
res-4	SKU-005	Product		title	https://example.com/4
res-5	SKU-006	Product		title	https://example.com/5
res-6	SKU-007	Product		title	https://example.com/6
res-7	SKU-008	Product		title	https://example.com/7
res-8	SKU-009	Product		title	https://example.com/8
res-9	SKU-010	Product		title	https://example.com/9
res-10	SKU-011	Product		title	https://example.com/10
res-11	SKU-012	Product		title	https://example.com/11
res-12	SKU-013	Product		title	https://example.com/12
res-13	SKU-014	Product		title	https://example.com/13
res-14	SKU-015	Product		title	https://example.com/14
res-15	SKU-016	Product		title	https://example.com/15
res-16	SKU-017	Product		title	https://example.com/16
res-17	SKU-018	Product		title	https://example.com/17
res-18	SKU-019	Product		title	https://example.com/18
res-19	SKU-020	Product		title	https://example.com/19
res-20	SKU-001	Product		title	https://example.com/20
res-21	SKU-002	Product		title	https://example.com/21
res-22	SKU-003	Product		title	https://example.com/22
res-23	SKU-004	Product		title	https://example.com/23
res-24	SKU-005	Product		title	https://example.com/24
res-25	SKU-006	Product		title	https://example.com/25
