sku,market_id,currency_code,amount,formatted,price_state,is_active,updated_at
C002-00,ru,RUB,1500.0,,active,true,2026-08-09
C002-00,by,BYN,52.5,,active,true,2026-08-09
C006-00,ru,RUB,5500.0,,active,true,2026-08-09
C006-00,by,BYN,192.5,,active,true,2026-08-09
C033-00,ru,RUB,13000.0,,active,true,2026-08-09
C033-00,by,BYN,455.0,,active,true,2026-08-09
C061-00,ru,RUB,7000.0,,active,true,2026-08-09
C061-00,by,BYN,245.0,,active,true,2026-08-09
C065-00,ru,RUB,33000.0,,active,true,2026-08-09
C065-00,by,BYN,1155.0,,active,true,2026-08-09
D003-00,ru,RUB,7000.0,,active,true,2026-08-09
D003-00,by,BYN,245.0,,active,true,2026-08-09
D004-00,ru,RUB,7500.0,,active,true,2026-08-09
D004-00,by,BYN,262.5,,active,true,2026-08-09
D011-00,ru,RUB,3500.0,,active,true,2026-08-09
D011-00,by,BYN,122.5,,active,true,2026-08-09
D013,ru,RUB,11000.0,,active,true,2026-08-09
D013,by,BYN,385.0,,active,true,2026-08-09
D013-06,ru,RUB,11500.0,,active,true,2026-08-09
D013-06,by,BYN,402.5,,active,true,2026-08-09
D014,ru,RUB,5500.0,,active,true,2026-08-09
D014,by,BYN,192.5,,active,true,2026-08-09
D017-00,ru,RUB,5000.0,,active,true,2026-08-09
D017-00,by,BYN,175.0,,active,true,2026-08-09
EU-N000014-24,ru,RUB,200000.0,,active,true,2026-08-09
EU-N000014-24,by,BYN,7000.0,,active,true,2026-08-09
EU-N000021-24,ru,RUB,65000.0,,active,true,2026-08-09
EU-N000021-24,by,BYN,2275.0,,active,true,2026-08-09
EU-N000024-24,ru,RUB,200000.0,,active,true,2026-08-09
EU-N000024-24,by,BYN,7000.0,,active,true,2026-08-09
EU-N000030-25,ru,RUB,2500.0,,active,true,2026-08-09
EU-N000030-25,by,BYN,87.5,,active,true,2026-08-09
EU-N000031-25,ru,RUB,65000.0,,active,true,2026-08-09
EU-N000031-25,by,BYN,2275.0,,active,true,2026-08-09
EU-N000032-25,ru,RUB,4500.0,,active,true,2026-08-09
EU-N000032-25,by,BYN,157.5,,active,true,2026-08-09
EU-N000036-26,ru,RUB,65000.0,,active,true,2026-08-09
EU-N000036-26,by,BYN,2275.0,,active,true,2026-08-09
F001-02,ru,RUB,3300.0,,active,true,2026-08-09
F001-02,by,BYN,115.5,,active,true,2026-08-09
F002-02,ru,RUB,3300.0,,active,true,2026-08-09
F002-02,by,BYN,115.5,,active,true,2026-08-09
F003-02,ru,RUB,3300.0,,active,true,2026-08-09
F003-02,by,BYN,115.5,,active,true,2026-08-09
F007-00,ru,RUB,2000.0,,active,true,2026-08-09
F007-00,by,BYN,70.0,,active,true,2026-08-09
F011-02,ru,RUB,1300.0,,active,true,2026-08-09
F011-02,by,BYN,45.5,,active,true,2026-08-09
F024-00,ru,RUB,4500.0,,active,true,2026-08-09
F024-00,by,BYN,157.5,,active,true,2026-08-09
F028-00,ru,RUB,2000.0,,active,true,2026-08-09
F028-00,by,BYN,70.0,,active,true,2026-08-09
F031-00,ru,RUB,1300.0,,active,true,2026-08-09
F031-00,by,BYN,45.5,,active,true,2026-08-09
F034-00,ru,RUB,5000.0,,active,true,2026-08-09
F034-00,by,BYN,175.0,,active,true,2026-08-09
F036-00,ru,RUB,7000.0,,active,true,2026-08-09
F036-00,by,BYN,245.0,,active,true,2026-08-09
F038-00,ru,RUB,5500.0,,active,true,2026-08-09
F038-00,by,BYN,192.5,,active,true,2026-08-09
F071-00,ru,RUB,10000.0,,active,true,2026-08-09
F071-00,by,BYN,350.0,,active,true,2026-08-09
F087-00,ru,RUB,2500.0,,active,true,2026-08-09
F087-00,by,BYN,87.5,,active,true,2026-08-09
M014-00,ru,RUB,68000.0,,active,true,2026-08-09
M014-00,by,BYN,2380.0,,active,true,2026-08-09
M015-00,ru,RUB,50000.0,,active,true,2026-08-09
M015-00,by,BYN,1750.0,,active,true,2026-08-09
T015,ru,RUB,13500.0,,active,true,2026-08-09
T015,by,BYN,472.5,,active,true,2026-08-09
T023,ru,RUB,6500.0,,active,true,2026-08-09
T023,by,BYN,227.5,,active,true,2026-08-09
